Factura,Fecha_Conta,Nombre_Cliente,Nombre_Extran,Transporte,DESTINO,DIRECCION
243961,2026-09-17,OPERADORA DE HOTELES SILAO,HOLIDAY INN EXPRESS SILAO (MILENIUM) (BJXAS),Cobro Regreso,"SILAO, GTO.","LIBRAMIENTO NORTE 3360, LA JOYA, 36169, SILAO, GTO"
243962,2026-09-17,INMOBILIARIA HOTELERA EL PRESIDENTE SAN JOSE DEL CABO,HOLIDAY INN EXPRESS & SUITES CELAYA (BJXCE),Cobro Regreso,"CELAYA, GTO.","EJE NOR-ORIENTE AV. LUIS DONALDO COLOSIO 285, LAS DELICIAS, 38080, CELAYA, GTO"
243963,2026-09-17,OPERADORA ENCORE QUERETARO,ENCORE QUERETARO (EQRO),Cobro Regreso,"QUERETARO, QUE.","CARRETERA QUERETARO-SAN LUIS POTOSÍ #11515, EL SALITRE, 76230, QUERETARO, QUE"
243964,2026-09-17,OPERADORA DE ESTANCIAS CREATIVAS,HOLIDAY INN EXPRESS TAPACHULA (TAPPF),Cobro Regreso,"TAPACHULA, CHS.","CARRETERA A PTO MADERO KM 3.5, LAS HORTENCIAS, 30797, TAPACHULA, CHS"
243965,2026-09-17,HOTEL ROYAL PLAZA,STAYBRIDGE  SUITES PUEBLA (PUEAA),Cobro Regreso,"PUEBLA, PUE.","Av Hermanos Serdan 810 INT SN, El Riego Sur, 72160, PUEBLA, PUE"
243966,2026-09-17,HOTELERA PLAZA DALI,HOLIDAY INN MEXICO DALI AEROPUERTO A0207811 (MEXPD),Cobro Regreso,"MEXICO, CMX.","VIADUCTO RIO DE LA PIEDAD 260, MAGDALENA MIXHUCA, 15860, MEXICO, CMX"
243967,2026-09-17,HOTELERIA SUSTENTABLE DEL PACIFICO,HOLIDAY INN EXPRESS & SUITES CIUDAD OBREGON (CENAR),Cobro Regreso,"CIUDAD OBREGON, SON.","CALLE MIGUEL ALEMAN 737, ZONA NORTE, 85040, CIUDAD OBREGON, SON"
243968,2026-09-17,PROMOTORA DEVI,HOLIDAY INN & SUITES AIFA (MEXZD),Cobro Regreso,"ZUMPANGO, MEX.","CIRCUITO CIUDAD AEROPUERTARIA LOTE 3 INT SN, AEROPUERTO INTERNACIONAL FELIPE ANGELES, 55640, ZUMPANGO, MEX"
243969,2026-09-17,FORNIX,HOLIDAY INN EXPRESS CABO SAN LUCAS (SJDSL),Cobro Regreso,"CABO SAN LUCAS, BCS.","CARRET TRANSP KM 4.5 SN, PLAZA TRANSPENINSULA, 23454, CABO SAN LUCAS, BCS"
243970,2026-09-17,SELFI GRUPO OPERADOR DE ESTACIONAMIENTOS,HOLIDAY INN EXPRESS XALAPA (JALEX),Cobro Regreso,"XALAPA ENRIQUEZ, VER.","IGNACIO ZARAGOZA 8, CENTRO, 91000, XALAPA ENRIQUEZ, VER"
243971,2026-09-17,FIDEICOMISO IRREVOCABLE DB/1616,HOLIDAY INN PUEBLA LA NORIA (PUELN),Cobro Regreso,"PUEBLA, PUE.","CIRCUITO JUAN PABLO II 1936, EX HACIENDA LA NORIA, 72410, PUEBLA, PUE"
243973,2026-09-17,FIDEICOMISO IRREVOCABLE DB/1616,HOLIDAY INN EXPRESS & SUITES TOLUCA APTO(TLUZO),Cobro Regreso,"TOLUCA, MEX.","BOULEVARD MIGUEL ALEMÁN  55, PARQUE INDUSTRIAL LERMA, 52000, TOLUCA, MEX"
