NO CLIENTE,FACTURA,NOMBRE DEL CLIENTE,DESTINO,PROGRAMACION,ESTATUS,FECHA DE ENVIO,SURTIDOR,CAJAS,PAQUETERIA,INCIDENCIA
C04175,238380,"HILTON GARDEN INN GUADALAJARA AIRPORT, MEXICO (GDLAP)","TLAJOMULCO DE ZUÃƑÆ‘Ã†Â€˜ÃƑÂ€ Ã‚Â‚¬ËŒÃƑÆ‘Ã‚Â‚¬Å ÃƑÂ€ŠÃ‚Â‚¬Å Ã‚Â¬ÃƑÂ€¹Ã…Â€™IGA, JAL",13/05/2026,ENVIADO,14/05/2026,FELIX,11,LOCAL,
C00781,238381,IBEROSTAR CANCUN,"CANCUN, QR",13/05/2026,ENVIADO,,,56,CEDIS CANCUN,
C00781,238382,IBEROSTAR CANCUN,"CANCUN, QR",13/05/2026,ENVIADO,,,2,CEDIS CANCUN,
C04160,238383,"HAMPTON TORREÃƑÆ‘Ã†Â€˜ÃƑÂ€ Ã‚Â‚¬ËŒÃƑÆ‘Ã‚Â‚¬Å ÃƑÂ€ŠÃ‚Â‚¬Å Ã‚Â¬ÃƑÂ€¦Ã‚Â‚¬Â„¢N-AIRPORT GALERÃƑÆ‘Ã†Â€˜ÃƑÂ€ Ã‚Â‚¬ËŒÃƑÆ‘Ã‚Â‚¬Å ÃƑÂ€ŠÃ‚ÂAS, MEXICO (TRCHA)","TORREON, COA",13/05/2026,ENVIADO,14/05/2026,KEVIN,4,TRES GUERRAS,
C00781,238384,IBEROSTAR CANCUN,"CANCUN, QR",13/05/2026,ENVIADO,,,2,CEDIS CANCUN,
C08531,238385,"HAMPTON TAMPICO ÃƑÆ‘Ã†Â€˜ÃƑÂ€ŠÃ‚Â€ŠÂ¬Ã…Â ÃƑÆ‘Ã‚Â‚¬Å ÃƑÂ€ŠÃ‚Â€ŠÂ¬Ã…Â ÃƑÂ€ŠÃ‚Â¬ÃƑÆ‘Ã‚Â‚¬Å ÃƑÂ€ŠÃ‚Â‚¬Å Ã‚Â¬ÃƑÂ€¦Ã‚Â‚¬Â„¢ ZONA DORADA, MEXICO (TAMZD)","TAMPICO, TAM",13/05/2026,ENVIADO,14/05/2026,KEVIN,11,TRES GUERRAS,
C08728,238386,"HAMPTON SALAMANCA BAJIO, MEXICO (QROSA)","SALAMANCA, GTO",13/05/2026,ENVIADO,14/05/2026,KEVIN,3,TRES GUERRAS,
C06133,238387,BEST WESTERN SANTORINI,"VICTORIA, TAM",13/05/2026,ENVIADO,14/05/2026,FELIX,7,PAQMEX,
C03616,238388,BAHIA PRINCIPE,"TULUM, QR",13/05/2026,ENVIADO,,,10,CEDIS CANCUN,
C03616,238389,BAHIA PRINCIPE,"TULUM, QR",13/05/2026,ENVIADO,,,4,CEDIS CANCUN,
